Date,Pietons,TIM,TC,Swisscom,Total
0,4.666666666666667,59.06666666666667,2.0933333333333333,89.13333333333334,71.73333333333335
1,2.3333333333333335,25.2,0.0,29.066666666666666,30.053333333333335
2,1.1333333333333333,15.266666666666667,0.0,15.333333333333334,17.92666666666667
3,0.5333333333333333,17.6,0.0,14.466666666666667,19.893333333333338
4,1.6666666666666667,19.866666666666667,0.0,10.466666666666667,23.520000000000003
5,4.0,43.2,2.413333333333333,54.6,53.933333333333344
6,27.0,166.66666666666666,7.8133333333333335,240.93333333333334,218.14666666666668
7,84.33333333333333,378.6,26.919999999999998,667.4666666666667,527.7133333333334
8,149.36365637084555,465.46666666666664,16.799999999999997,595.0666666666667,678.1769897041788
9,204.03075577955457,434.46666666666664,20.226666666666667,440.2,702.1707557795546
10,228.9282086061675,467.6666666666667,23.959999999999994,462.06666666666666,767.3215419395009
11,220.7174834304181,507.3333333333333,48.186666666666675,535.4,826.9708167637516
12,180.65435724228166,462.46666666666664,58.4,542.2,747.767690575615
13,142.47492691949992,408.93333333333334,28.706666666666663,519.6666666666666,621.0082602528333
14,149.0871907732975,464.8,39.78666666666667,547.8666666666667,700.1538574399642
15,165.50096292475152,484.73333333333335,69.49333333333333,621.7333333333333,768.2009629247516
16,182.6972731354752,526.9333333333333,78.77666666666667,784.6666666666666,841.1006064688086
17,176.67567347323026,528.6,70.90666666666668,945.5333333333333,829.042340139897
18,125.7541712516521,533.5333333333333,54.986666666666665,851.3333333333334,767.6275045849854
19,80.66666666666667,437.6,37.62666666666667,592.8666666666667,599.6533333333334
20,39.266666666666666,277.2,26.893333333333327,352.8666666666667,371.08
21,28.066666666666666,194.73333333333332,14.213333333333333,268.4,256.4866666666667
22,25.733333333333334,165.13333333333333,10.973333333333333,227.4,218.35333333333332
23,14.733333333333333,107.53333333333333,7.519999999999999,150.66666666666666,140.54000000000002
